Bank,Year,STATE_SHARE,LOANS,ASSETS,DEPOSITS_ASSETS,PROFIT_BT_ASSETS,COST_TO_INCOME,EQUITY_ASSETS,LLOSS_RES_ON_GLOANS
212,2006,0.00,4 447 964.53,6 856 413.07,0.74,1.92,55.37,0.10,2.07
212,2007,0.00,8 617 851.09,11 946 671.78,0.73,1.71,51.29,0.09,2.37
212,2008,0.00,10 244 704.27,15 717 996.15,0.74,0.46,46.17,0.09,5.79
212,2009,0.00,8 809 014.48,15 580 223.40,0.82,-0.13,40.11,0.08,12.73
212,2010,0.00,10 202 730.20,15 589 737.85,0.80,0.61,54.64,0.09,10.81
212,2011,0.00,12 303 881.28,17 472 733.92,0.76,1.26,53.21,0.10,6.87
213,2005,75.00,1 297 722.63,1 942 996.70,0.81,3.01,66.91,0.07,3.57
213,2006,75.00,2 179 221.51,3 177 801.12,0.80,3.70,56.46,0.07,2.51
213,2007,75.00,3 712 448.30,5 785 966.77,0.72,2.66,59.63,0.06,1.72
213,2008,55.07,4 787 177.99,8 317 851.61,0.76,1.95,46.49,0.07,3.22
213,2009,54.39,4 737 949.68,8 549 953.24,0.68,2.00,40.09,0.08,7.46
213,2010,91.31,6 689 863.21,12 825 273.73,0.77,2.48,53.53,0.07,5.54
213,2011,86.98,9 999 158.08,15 711 250.43,0.82,2.16,51.14,0.07,4.16
214,2006,0.00,6 593 495.84,14 803 521.17,0.73,3.67,45.83,0.16,6.12
214,2007,0.00,10 659 490.90,17 261 775.45,0.77,1.15,78.44,0.16,4.24
214,2008,0.00,10 315 108.35,16 849 328.64,0.83,0.79,59.82,0.13,6.01
214,2009,0.00,7 801 760.21,14 432 155.36,0.75,0.43,58.49,0.16,10.90
214,2010,0.00,7 272 196.04,14 501 572.76,0.75,0.30,91.43,0.16,9.92
215,2005,0.00,4 622 138.65,8 366 823.95,0.71,5.97,40.42,0.17,4.16
215,2006,0.00,6 398 327.39,11 645 734.40,0.77,1.86,56.48,0.15,5.63
215,2007,0.00,10 154 361.80,15 265 662.04,0.79,0.97,78.09,0.13,4.18
215,2008,0.00,10 537 263.26,16 006 419.74,0.82,0.82,57.91,0.11,5.79
215,2009,0.00,7 847 289.60,13 730 367.92,0.80,0.59,51.43,0.15,10.70
215,2010,0.00,7 207 228.80,13 661 625.16,0.80,0.27,87.90,0.14,9.61
215,2011,0.00,7 923 940.94,13 425 756.27,0.83,-1.18,86.99,0.12,9.31
216,2005,0.00,2 790 341.47,4 822 131.71,0.64,3.11,50.23,0.18,3.43
216,2006,0.00,6 337 562.74,9 233 264.00,0.63,1.88,51.47,0.11,2.63
216,2007,0.00,7 345 780.48,13 097 016.83,0.70,2.37,48.34,0.12,3.32
216,2008,0.00,6 630 474.94,11 201 924.08,0.75,1.41,45.97,0.12,5.90
216,2009,0.00,7 826 591.42,13 319 016.33,0.66,-0.31,41.34,0.15,15.71
216,2010,0.00,7 674 796.02,12 580 248.81,0.71,0.87,67.04,0.17,11.90
216,2011,0.00,6 194 321.55,10 678 311.75,0.75,-2.53,68.44,0.15,15.37
217,2005,0.00,661 669.45,1 081 723.32,0.79,2.56,45.97,0.11,5.83
217,2006,0.00,1 507 908.88,2 300 690.04,0.75,2.59,42.65,0.07,3.89
217,2007,0.00,3 737 038.66,5 159 910.61,0.71,2.08,39.66,0.12,2.75
217,2008,0.00,4 931 267.25,7 342 153.50,0.80,1.78,34.66,0.09,3.88
217,2009,0.00,5 230 771.44,7 790 131.54,0.81,0.32,24.84,0.11,9.14
217,2010,0.00,5 998 588.86,8 944 764.38,0.75,1.88,31.76,0.10,9.61
217,2011,0.00,6 519 643.55,10 250 728.92,0.77,2.21,40.41,0.12,9.23
218,2005,0.00,1 429 678.30,2 566 582.69,0.46,1.07,70.55,0.14,3.69
218,2006,0.00,2 648 556.85,3 967 600.63,0.37,1.52,39.97,0.22,4.08
218,2007,0.00,4 612 474.76,6 453 526.30,0.42,1.64,49.22,0.15,3.65
218,2008,0.00,5 365 064.29,7 393 800.86,0.55,1.14,96.20,0.12,4.46
218,2009,0.00,5 543 599.64,7 765 204.25,0.51,0.40,99.32,0.15,6.06
218,2010,33.80,4 910 991.74,7 982 110.40,0.44,0.36,98.54,0.15,7.37
218,2011,33.79,5 670 354.06,9 404 259.33,0.53,0.75,94.30,0.12,4.78
219,2005,0.00,1 400 700.00,3 406 900.00,0.87,2.76,67.98,0.12,0.63
219,2007,0.00,1 886 500.00,6 160 400.00,0.86,2.31,69.69,0.11,2.65
219,2008,0.00,2 132 300.00,6 156 900.00,0.81,4.04,61.19,0.10,3.83
219,2009,0.00,1 822 000.00,6 566 700.00,0.80,6.55,40.30,0.16,6.88
219,2010,0.00,1 934 400.00,8 414 500.00,0.82,4.65,49.49,0.16,5.70
219,2011,0.00,2 804 700.00,9 003 500.00,0.81,3.87,54.70,0.17,4.10
220,2005,0.00,223 540.91,500 642.08,0.79,1.93,44.25,0.16,10.95
220,2006,0.00,487 851.43,882 694.30,0.77,2.63,46.00,0.12,8.63
220,2007,0.00,1 744 465.83,2 960 334.91,0.66,2.52,50.06,0.07,1.87
220,2008,0.00,4 731 022.53,5 723 673.44,0.41,0.88,98.53,0.06,1.40
220,2009,0.00,4 282 258.03,5 259 106.23,0.32,2.78,98.21,0.11,3.82
220,2010,0.00,5 197 412.92,6 206 769.80,0.25,2.43,76.85,0.11,3.22
220,2011,0.00,5 826 891.65,8 415 127.13,0.39,0.99,83.59,0.08,3.47
221,2005,0.00,1 456 600.43,2 445 704.96,0.80,3.17,51.59,0.11,3.17
221,2006,0.00,2 287 697.79,3 891 599.63,0.72,2.44,53.32,0.14,3.14
221,2007,0.00,4 116 400.84,6 644 523.27,0.66,2.09,53.00,0.11,2.87
221,2008,0.00,3 715 994.45,6 375 573.71,0.72,0.77,59.06,0.09,4.23
221,2009,0.00,3 343 513.74,6 151 288.41,0.70,1.53,41.62,0.11,7.53
221,2010,0.00,4 166 955.79,6 555 650.09,0.66,2.59,44.35,0.11,7.16
221,2011,0.00,5 103 242.22,7 663 269.62,0.67,1.44,55.75,0.10,6.03
222,2005,0.00,426 224.29,654 105.82,0.82,2.17,74.05,0.16,2.98
222,2006,0.00,741 340.08,1 095 195.40,0.70,1.34,70.03,0.14,0.82
222,2007,0.00,1 081 568.62,1 721 944.71,0.77,1.54,65.37,0.13,0.82
222,2008,0.00,1 355 975.45,2 057 432.91,0.78,2.15,53.11,0.11,1.25
222,2009,0.00,1 927 328.18,2 878 535.34,0.72,1.12,37.85,0.13,3.04
222,2010,0.00,3 407 574.13,5 429 377.45,0.73,2.27,36.48,0.08,2.62
222,2011,0.00,4 939 104.33,7 217 358.48,0.72,2.09,42.38,0.11,2.26
223,2005,0.00,344 726.85,1 342 833.38,0.34,7.67,48.57,0.21,3.40
223,2006,0.00,668 042.73,2 652 080.59,0.41,7.82,39.69,0.17,3.08
223,2007,0.00,1 243 504.06,4 501 609.13,0.41,7.85,43.38,0.17,2.62
223,2008,0.00,1 828 879.17,6 811 350.63,0.40,0.95,95.85,0.15,2.74
223,2009,0.00,1 561 241.47,6 993 664.79,0.35,4.31,45.77,0.17,3.60
224,2006,92.00,868 060.95,2 638 822.51,0.82,1.51,66.14,0.11,5.97
224,2007,92.73,1 654 015.66,3 438 181.82,0.77,0.50,80.72,0.10,4.20
224,2008,66.30,2 338 640.80,3 961 222.57,0.79,-0.82,80.87,0.09,4.62
224,2009,44.20,2 645 300.54,4 325 579.71,0.68,0.62,49.90,0.14,7.43
224,2010,44.20,3 308 505.66,5 521 227.34,0.69,2.25,55.68,0.13,6.07
224,2011,44.20,3 797 006.39,6 938 324.69,0.80,2.07,51.55,0.11,6.03
225,2005,0.00,786 040.16,1 111 967.39,0.63,0.94,57.79,0.12,5.06
225,2006,0.00,1 313 792.42,2 206 713.71,0.73,0.99,55.88,0.07,5.14
225,2007,0.00,2 831 407.66,5 012 531.38,0.73,1.11,64.11,0.06,3.76
225,2008,0.00,3 391 805.53,5 669 351.17,0.78,0.22,75.90,0.08,3.49
225,2009,0.00,3 519 974.02,7 292 069.11,0.82,-1.10,73.74,0.05,6.15
225,2010,0.00,3 527 898.04,7 761 320.57,0.84,0.41,83.44,0.07,6.46
225,2011,0.00,4 167 296.58,6 890 272.29,0.87,-0.33,92.59,0.08,5.29
226,2005,0.00,469 848.02,1 055 874.27,0.65,0.41,71.64,0.06,5.07
226,2006,0.00,981 903.52,2 373 805.10,0.77,0.27,75.35,0.08,4.44
226,2010,99.50,2 560 706.53,5 441 350.45,0.72,-0.01,72.81,0.12,8.86
226,2011,99.50,3 914 418.13,6 841 418.54,0.78,0.25,80.64,0.08,5.17
227,2005,0.00,1 814 731.25,3 147 013.08,0.73,4.95,36.88,0.13,4.43
227,2006,0.00,4 137 647.08,5 631 842.14,0.65,3.44,38.72,0.11,3.17
227,2007,0.00,5 536 323.24,7 730 149.54,0.68,2.10,54.00,0.10,2.61
227,2008,0.00,4 192 267.76,6 533 580.41,0.79,1.26,44.63,0.12,6.03
227,2009,0.00,3 293 808.35,5 683 602.06,0.70,0.29,29.05,0.16,12.88
227,2010,0.00,3 215 523.76,5 942 959.85,0.75,0.15,60.89,0.15,15.29
227,2011,0.00,3 860 054.40,6 201 903.21,0.80,0.31,72.67,0.14,12.61
228,2005,0.00,500 120.41,1 152 005.47,0.81,1.77,69.82,0.10,0.00
228,2006,0.00,589 433.97,1 758 048.68,0.74,3.27,49.67,0.13,0.12
228,2007,0.00,1 452 268.43,3 280 053.07,0.80,1.70,57.62,0.09,0.48
228,2008,0.00,1 327 365.80,4 764 200.43,0.68,4.55,94.40,0.13,2.92
228,2009,0.00,653 074.11,2 800 552.90,0.70,3.50,98.29,0.23,18.59
228,2010,0.00,970 040.78,3 995 327.13,0.70,4.51,88.95,0.19,4.67
228,2011,0.00,1 267 694.70,5 842 204.37,0.75,2.40,92.90,0.14,3.58
229,2006,0.00,1 405 057.12,2 003 774.98,0.89,-1.02,114.20,0.05,0.73
230,2005,0.00,890 537.69,1 367 292.68,0.16,1.18,36.23,0.22,12.95
230,2006,0.00,1 206 960.58,1 723 680.35,0.20,2.11,37.40,0.22,13.53
230,2007,0.00,2 528 920.93,3 315 922.57,0.33,3.26,44.28,0.18,12.82
230,2008,0.00,2 512 562.87,3 861 390.71,0.31,4.57,46.53,0.18,10.66
230,2009,0.00,1 948 439.67,3 189 897.52,0.32,6.80,36.60,0.28,13.09
230,2011,0.00,3 504 554.83,4 835 647.70,0.54,8.76,38.80,0.20,6.77
231,2005,0.00,498 872.60,942 697.86,0.84,2.04,77.00,0.10,8.64
231,2006,0.00,945 273.83,1 636 296.99,0.81,4.18,42.63,0.15,4.40
231,2007,0.00,1 540 784.29,2 570 964.10,0.84,1.80,70.63,0.13,3.32
231,2008,0.00,1 474 534.09,2 402 969.40,0.85,1.40,75.49,0.12,3.81
231,2009,0.00,1 969 134.55,3 012 832.16,0.88,1.05,73.89,0.10,4.08
231,2010,0.00,2 432 261.72,3 741 718.99,0.89,0.35,94.34,0.08,3.31
231,2011,0.00,3 030 373.18,4 528 495.60,0.89,0.43,92.67,0.08,2.52
232,2005,0.00,484 957.89,800 632.36,0.84,1.19,76.29,0.10,4.96
232,2006,0.00,828 241.12,1 408 232.08,0.75,1.33,67.66,0.17,5.13
232,2007,0.00,1 496 264.16,2 324 119.38,0.55,1.18,72.23,0.13,4.59
232,2008,0.00,1 480 963.54,2 658 728.35,0.66,0.21,69.71,0.10,8.88
232,2009,0.00,1 405 962.11,2 772 538.16,0.68,0.39,51.50,0.10,16.84
232,2010,0.00,1 649 196.54,3 528 098.19,0.73,1.81,66.44,0.10,10.06
232,2011,0.00,2 009 671.94,4 466 581.27,0.80,1.76,74.24,0.09,9.34
233,2007,0.00,758 796.42,970 019.86,0.51,5.40,50.54,0.07,7.91
233,2008,0.00,796 579.79,1 133 335.63,0.64,5.44,88.66,0.15,9.00
233,2009,0.00,1 119 952.55,1 781 437.88,0.68,0.27,99.59,0.14,10.42
233,2010,0.00,2 134 610.00,3 084 020.01,0.63,3.12,84.65,0.11,10.46
233,2011,0.00,3 212 810.49,4 244 939.83,0.56,3.16,86.35,0.11,8.01
234,2005,0.00,805 861.23,1 314 250.03,0.79,0.97,74.99,0.18,4.23
234,2006,0.00,1 461 572.04,2 165 443.12,0.76,0.97,70.14,0.13,3.99
234,2007,0.00,1 568 776.40,2 618 959.30,0.81,2.67,66.64,0.13,4.58
234,2008,0.00,1 401 526.23,2 467 522.64,0.80,0.26,70.02,0.12,8.16
234,2009,0.00,1 523 389.58,2 819 456.25,0.87,-1.98,93.49,0.08,9.46
